codgeo,dep,reg,weight_dep,weight_reg,weight_fr
01214,01,84.0,8,0,0
01215,01,84.0,6,0,0
01216,01,84.0,144,11,13
01219,01,84.0,28,2,2
01224,01,84.0,479,38,44
01225,01,84.0,65,5,6
01227,01,84.0,101,8,9
01228,01,84.0,89,7,8
01229,01,84.0,175,14,16
01230,01,84.0,29,2,2
01231,01,84.0,321,26,29
01232,01,84.0,366,29,33
01233,01,84.0,23,1,2
01234,01,84.0,26,2,2
01235,01,84.0,154,12,14
01236,01,84.0,149,12,13
01237,01,84.0,239,19,22
01238,01,84.0,393,31,36
01239,01,84.0,97,7,9
01240,01,84.0,110,8,10
01241,01,84.0,205,16,18
01242,01,84.0,9,0,0
01243,01,84.0,183,14,16
01244,01,84.0,1196,96,110
01245,01,84.0,125,10,11
01246,01,84.0,346,28,31
01247,01,84.0,61,4,5
01248,01,84.0,342,27,31
01249,01,84.0,1559,126,143
01250,01,84.0,308,25,28
01252,01,84.0,106,8,9
01254,01,84.0,302,24,27
01255,01,84.0,96,7,8
01257,01,84.0,45,3,4
01258,01,84.0,201,16,18
01259,01,84.0,104,8,9
01260,01,84.0,47,3,4
01261,01,84.0,110,8,10
01262,01,84.0,1102,89,101
01263,01,84.0,611,49,56
01264,01,84.0,164,13,15
01265,01,84.0,563,45,51
01266,01,84.0,358,29,32
01267,01,84.0,171,13,15
01268,01,84.0,43,3,4
01269,01,84.0,552,44,50
01272,01,84.0,204,16,18
01273,01,84.0,295,23,27
01274,01,84.0,92,7,8
01275,01,84.0,389,31,35
01276,01,84.0,237,19,21
01277,01,84.0,5,0,0
01279,01,84.0,13,1,1
01280,01,84.0,23,1,2
01281,01,84.0,681,55,62
01282,01,84.0,43,3,3
01283,01,84.0,3610,292,332
01284,01,84.0,103,8,9
01285,01,84.0,169,13,15
01286,01,84.0,138,11,12
01288,01,84.0,440,35,40
01289,01,84.0,979,79,90
01290,01,84.0,194,15,17
01291,01,84.0,109,8,10
01293,01,84.0,24,2,2
01294,01,84.0,146,11,13
01295,01,84.0,108,8,9
01296,01,84.0,67,5,6
01297,01,84.0,128,10,11
01298,01,84.0,22,1,2
01299,01,84.0,80,6,7
01301,01,84.0,377,30,34
01302,01,84.0,27,2,2
01303,01,84.0,237,19,21
01304,01,84.0,472,38,43
01305,01,84.0,340,27,31
01306,01,84.0,232,18,21
01307,01,84.0,134,10,12
01308,01,84.0,118,9,10
01309,01,84.0,17,1,1
01310,01,84.0,53,4,4
01311,01,84.0,7,0,0
01313,01,84.0,1254,101,115
01314,01,84.0,250,20,23
01317,01,84.0,50,4,4
01318,01,84.0,119,9,11
01319,01,84.0,60,4,5
01320,01,84.0,610,49,56
01321,01,84.0,145,11,13
01322,01,84.0,742,60,68
01323,01,84.0,159,12,14
01325,01,84.0,167,13,15
01328,01,84.0,93,7,8
01329,01,84.0,26,2,2
01330,01,84.0,29,2,2
01331,01,84.0,28,2,2
01332,01,84.0,95,7,8
01333,01,84.0,496,40,45
01334,01,84.0,73,5,6
01335,01,84.0,62,5,5
01336,01,84.0,163,13,15
01337,01,84.0,182,14,16
01338,01,84.0,171,13,15
01339,01,84.0,227,18,20
01342,01,84.0,93,7,8
01343,01,84.0,268,21,24
01344,01,84.0,890,72,81
01345,01,84.0,359,29,33
01346,01,84.0,127,10,11
01347,01,84.0,317,25,29
01348,01,84.0,442,35,40
01349,01,84.0,53,4,4
01350,01,84.0,399,32,36
01351,01,84.0,230,18,21
01352,01,84.0,73,5,6
01353,01,84.0,245,19,22
01354,01,84.0,1980,160,182
01355,01,84.0,80,6,7
01356,01,84.0,34,2,3
01357,01,84.0,76,6,7
01358,01,84.0,73,5,6
01359,01,84.0,37,3,3
01360,01,84.0,263,21,24
01361,01,84.0,224,18,20
01362,01,84.0,134,10,12
01363,01,84.0,268,21,24
01364,01,84.0,97,7,8
01365,01,84.0,182,14,16
01366,01,84.0,143,11,13
01367,01,84.0,118,9,10
01368,01,84.0,109,8,10
01369,01,84.0,124,10,11
01370,01,84.0,258,20,23
01371,01,84.0,216,17,19
01372,01,84.0,69,5,6
01373,01,84.0,154,12,14
01374,01,84.0,279,22,25
01375,01,84.0,114,9,10
01376,01,84.0,614,49,56
01378,01,84.0,402,32,37
01379,01,84.0,106,8,9
01380,01,84.0,104,8,9
01381,01,84.0,128,10,11
01382,01,84.0,48,3,4
01383,01,84.0,231,18,21
01384,01,84.0,359,29,33
01385,01,84.0,165,13,15
01386,01,84.0,189,15,17
01387,01,84.0,36,2,3
01388,01,84.0,173,14,15
01389,01,84.0,294,23,27
01390,01,84.0,199,16,18
01391,01,84.0,44,3,4
01392,01,84.0,105,8,9
01393,01,84.0,88,7,8
01396,01,84.0,162,13,14
01397,01,84.0,146,11,13
01398,01,84.0,215,17,19
01399,01,84.0,311,25,28
01400,01,84.0,23,1,2
01401,01,84.0,330,26,30
01402,01,84.0,109,8,10
01403,01,84.0,189,15,17
01404,01,84.0,9,0,0
01405,01,84.0,201,16,18
01406,01,84.0,29,2,2
01407,01,84.0,159,12,14
01408,01,84.0,109,8,10
01410,01,84.0,37,3,3
01411,01,84.0,44,3,4
01412,01,84.0,73,5,6
01415,01,84.0,72,5,6
01416,01,84.0,177,14,16
01418,01,84.0,152,12,14
01419,01,84.0,971,78,89
01420,01,84.0,238,19,21
01421,01,84.0,94,7,8
01422,01,84.0,224,18,20
01423,01,84.0,144,11,13
01424,01,84.0,259,21,23
01425,01,84.0,48,3,4
01426,01,84.0,432,35,39
01427,01,84.0,1107,89,101
01428,01,84.0,6,0,0
01429,01,84.0,84,6,7
01430,01,84.0,75,6,6
01431,01,84.0,205,16,18
01432,01,84.0,26,2,2
01433,01,84.0,53,4,4
01434,01,84.0,65,5,6
01435,01,84.0,339,27,31
01436,01,84.0,76,6,7
01437,01,84.0,44,3,4
01439,01,84.0,17,1,1
01441,01,84.0,86,7,7
01443,01,84.0,728,59,67
01444,01,84.0,180,14,16
01445,01,84.0,109,8,10
01446,01,84.0,225,18,20
01447,01,84.0,182,14,16
01448,01,84.0,41,3,3
01449,01,84.0,128,10,11
01450,01,84.0,599,48,55
01451,01,84.0,1026,83,94
01452,01,84.0,161,13,14
01453,01,84.0,116,9,10
01454,01,84.0,169,13,15
01456,01,84.0,1,0,0
01457,01,84.0,472,38,43
02001,02,32.0,86,7,6
02002,02,32.0,124,10,9
02003,02,32.0,203,17,15
02004,02,32.0,12,1,0
02005,02,32.0,77,6,5
02006,02,32.0,38,3,2
02007,02,32.0,8,0,0
02008,02,32.0,61,5,4
02009,02,32.0,113,9,8
02010,02,32.0,17,1,1
02011,02,32.0,233,20,17
02012,02,32.0,4,0,0
02013,02,32.0,86,7,6
02014,02,32.0,141,12,10
02015,02,32.0,14,1,1
02016,02,32.0,47,4,3
02017,02,32.0,65,5,4
02018,02,32.0,494,42,36
02019,02,32.0,71,6,5
02020,02,32.0,70,6,5
02021,02,32.0,17,1,1
02022,02,32.0,84,7,6
02023,02,32.0,18,1,1
02024,02,32.0,11,0,0
02025,02,32.0,44,3,3
02027,02,32.0,34,2,2
02028,02,32.0,496,43,36
02029,02,32.0,58,5,4
02030,02,32.0,52,4,3
02031,02,32.0,106,9,7
02032,02,32.0,26,2,1
02033,02,32.0,21,1,1
02034,02,32.0,8,0,0
02035,02,32.0,30,2,2
02036,02,32.0,18,1,1
02037,02,32.0,290,25,21
02038,02,32.0,11,0,0
02039,02,32.0,34,2,2
02040,02,32.0,34,2,2
02041,02,32.0,164,14,12
02042,02,32.0,81,7,6
02043,02,32.0,15,1,1
02044,02,32.0,6,0,0
02046,02,32.0,76,6,5
02047,02,32.0,26,2,1
02048,02,32.0,28,2,2
02049,02,32.0,148,12,10
02050,02,32.0,50,4,3
02051,02,32.0,62,5,4
02052,02,32.0,23,2,1
02053,02,32.0,88,7,6
02054,02,32.0,99,8,7
02055,02,32.0,18,1,1
02056,02,32.0,14,1,1
02057,02,32.0,278,24,20
02058,02,32.0,133,11,9
02059,02,32.0,508,44,37
02060,02,32.0,54,4,4
02061,02,32.0,56,4,4
02062,02,32.0,29,2,2
02063,02,32.0,73,6,5
02064,02,32.0,712,61,52
02065,02,32.0,118,10,8
02066,02,32.0,14,1,1
02067,02,32.0,43,3,3
02068,02,32.0,20,1,1
02069,02,32.0,22,1,1
02070,02,32.0,76,6,5
02071,02,32.0,125,10,9
02072,02,32.0,39,3,2
02073,02,32.0,141,12,10
02074,02,32.0,109,9,8
02075,02,32.0,38,3,2
02076,02,32.0,34,3,2
02077,02,32.0,75,6,5
02078,02,32.0,13,1,0
02079,02,32.0,29,2,2
02080,02,32.0,55,4,4
02081,02,32.0,94,8,6
02082,02,32.0,5,0,0
02083,02,32.0,123,10,9
02084,02,32.0,54,4,4
02085,02,32.0,209,18,15
02086,02,32.0,197,17,14
02087,02,32.0,0,0,0
02088,02,32.0,15,1,1
02089,02,32.0,227,19,16
02090,02,32.0,41,3,3
02091,02,32.0,22,1,1
02093,02,32.0,218,18,16
02094,02,32.0,61,5,4
02095,02,32.0,1082,93,80
02096,02,32.0,38,3,2
02097,02,32.0,55,4,4
02098,02,32.0,77,6,5
02099,02,32.0,51,4,3
02100,02,32.0,29,2,2
02101,02,32.0,35,3,2
02102,02,32.0,38,3,2
02103,02,32.0,255,22,18
02104,02,32.0,20,1,1
02105,02,32.0,40,3,3
02106,02,32.0,156,13,11
02107,02,32.0,6,0,0
02108,02,32.0,11,0,0
02109,02,32.0,80,6,5
02110,02,32.0,415,35,30
02111,02,32.0,107,9,7
02112,02,32.0,107,9,7
02114,02,32.0,250,21,18
02115,02,32.0,42,3,3
02116,02,32.0,29,2,2
02117,02,32.0,12,1,0
02118,02,32.0,24,2,1
02119,02,32.0,52,4,3
02120,02,32.0,18,1,1
02121,02,32.0,52,4,3
02122,02,32.0,1,0,0
02123,02,32.0,33,2,2
02124,02,32.0,138,11,10
02125,02,32.0,19,1,1
02126,02,32.0,91,7,6
02127,02,32.0,17,1,1
02128,02,32.0,282,24,20
02129,02,32.0,4,0,0
02130,02,32.0,15,1,1
02131,02,32.0,381,33,28
02132,02,32.0,38,3,2
02133,02,32.0,76,6,5
02134,02,32.0,182,15,13
02135,02,32.0,239,20,17
02136,02,32.0,27,2,2
02137,02,32.0,30,2,2
02138,02,32.0,17,1,1
02139,02,32.0,89,7,6
02140,02,32.0,95,8,7
02141,02,32.0,350,30,26
02142,02,32.0,47,4,3
02143,02,32.0,40,3,2
02144,02,32.0,31,2,2
02145,02,32.0,97,8,7
02146,02,32.0,2,0,0
02148,02,32.0,56,4,4
02149,02,32.0,12,1,0
02150,02,32.0,4,0,0
02151,02,32.0,6,0,0
02152,02,32.0,4,0,0
02153,02,32.0,128,11,9
02154,02,32.0,60,5,4
02155,02,32.0,34,2,2
02156,02,32.0,28,2,2
02157,02,32.0,174,15,12
02158,02,32.0,59,5,4
02159,02,32.0,41,3,3
02160,02,32.0,105,9,7
02162,02,32.0,30,2,2
02163,02,32.0,499,43,37
02164,02,32.0,48,4,3
02165,02,32.0,286,24,21
02166,02,32.0,61,5,4
02167,02,32.0,166,14,12
02168,02,32.0,2863,247,212
02169,02,32.0,16,1,1
02170,02,32.0,7,0,0
02171,02,32.0,3,0,0
02172,02,32.0,25,2,1
02173,02,32.0,2298,198,170
02174,02,32.0,159,13,11
02175,02,32.0,13,1,1
02176,02,32.0,20,1,1
02177,02,32.0,28,2,2
02178,02,32.0,21,1,1
02179,02,32.0,65,5,4
02180,02,32.0,151,13,11
