codgeo,dep,reg,weight_dep,weight_reg,weight_fr
01214,01,84.0,7,0,0
01215,01,84.0,3,0,0
01216,01,84.0,145,11,12
01219,01,84.0,25,1,2
01224,01,84.0,485,38,42
01225,01,84.0,58,4,5
01227,01,84.0,96,7,8
01228,01,84.0,85,6,7
01229,01,84.0,168,13,14
01230,01,84.0,28,2,2
01231,01,84.0,313,24,27
01232,01,84.0,358,28,31
01233,01,84.0,18,1,1
01234,01,84.0,29,2,2
01235,01,84.0,165,13,14
01236,01,84.0,142,11,12
01237,01,84.0,240,18,21
01238,01,84.0,398,31,35
01239,01,84.0,99,7,8
01240,01,84.0,99,7,8
01241,01,84.0,202,15,17
01242,01,84.0,6,0,0
01243,01,84.0,185,14,16
01244,01,84.0,1273,100,112
01245,01,84.0,118,9,10
01246,01,84.0,348,27,30
01247,01,84.0,48,3,4
01248,01,84.0,326,25,28
01249,01,84.0,1588,124,140
01250,01,84.0,322,25,28
01252,01,84.0,100,7,8
01254,01,84.0,297,23,26
01255,01,84.0,86,6,7
01257,01,84.0,43,3,3
01258,01,84.0,183,14,16
01259,01,84.0,99,7,8
01260,01,84.0,45,3,4
01261,01,84.0,99,7,8
01262,01,84.0,1150,90,101
01263,01,84.0,605,47,53
01264,01,84.0,164,12,14
01265,01,84.0,546,43,48
01266,01,84.0,398,31,35
01267,01,84.0,163,12,14
01268,01,84.0,38,3,3
01269,01,84.0,560,44,49
01272,01,84.0,224,17,19
01273,01,84.0,272,21,24
01274,01,84.0,88,6,7
01275,01,84.0,372,29,32
01276,01,84.0,231,18,20
01277,01,84.0,5,0,0
01279,01,84.0,13,1,1
01280,01,84.0,22,1,1
01281,01,84.0,695,54,61
01282,01,84.0,34,2,3
01283,01,84.0,3703,291,326
01284,01,84.0,102,8,9
01285,01,84.0,165,13,14
01286,01,84.0,138,10,12
01288,01,84.0,401,31,35
01289,01,84.0,1067,83,94
01290,01,84.0,198,15,17
01291,01,84.0,105,8,9
01293,01,84.0,26,2,2
01294,01,84.0,134,10,11
01295,01,84.0,107,8,9
01296,01,84.0,59,4,5
01297,01,84.0,113,8,10
01298,01,84.0,17,1,1
01299,01,84.0,57,4,5
01301,01,84.0,376,29,33
01302,01,84.0,24,1,2
01303,01,84.0,255,20,22
01304,01,84.0,460,36,40
01305,01,84.0,380,29,33
01306,01,84.0,241,19,21
01307,01,84.0,128,10,11
01308,01,84.0,117,9,10
01309,01,84.0,11,0,1
01310,01,84.0,27,2,2
01311,01,84.0,6,0,0
01313,01,84.0,1318,103,116
01314,01,84.0,250,19,22
01317,01,84.0,48,3,4
01318,01,84.0,109,8,9
01319,01,84.0,58,4,5
01320,01,84.0,580,45,51
01321,01,84.0,143,11,12
01322,01,84.0,746,58,65
01323,01,84.0,158,12,13
01325,01,84.0,150,11,13
01328,01,84.0,95,7,8
01329,01,84.0,23,1,2
01330,01,84.0,29,2,2
01331,01,84.0,28,2,2
01332,01,84.0,97,7,8
01333,01,84.0,530,41,46
01334,01,84.0,77,6,6
01335,01,84.0,57,4,5
01336,01,84.0,172,13,15
01337,01,84.0,170,13,15
01338,01,84.0,157,12,13
01339,01,84.0,228,17,20
01342,01,84.0,89,7,7
01343,01,84.0,249,19,22
01344,01,84.0,922,72,81
01345,01,84.0,361,28,31
01346,01,84.0,129,10,11
01347,01,84.0,298,23,26
01348,01,84.0,445,35,39
01349,01,84.0,44,3,3
01350,01,84.0,397,31,35
01351,01,84.0,214,16,18
01352,01,84.0,56,4,4
01353,01,84.0,243,19,21
01354,01,84.0,1863,146,164
01355,01,84.0,73,5,6
01356,01,84.0,33,2,2
01357,01,84.0,67,5,5
01358,01,84.0,67,5,5
01359,01,84.0,38,3,3
01360,01,84.0,259,20,22
01361,01,84.0,213,16,18
01362,01,84.0,117,9,10
01363,01,84.0,269,21,23
01364,01,84.0,90,7,7
01365,01,84.0,183,14,16
01366,01,84.0,132,10,11
01367,01,84.0,109,8,9
01368,01,84.0,100,7,8
01369,01,84.0,118,9,10
01370,01,84.0,291,22,25
01371,01,84.0,200,15,17
01372,01,84.0,73,5,6
01373,01,84.0,157,12,13
01374,01,84.0,259,20,22
01375,01,84.0,115,9,10
01376,01,84.0,614,48,54
01378,01,84.0,386,30,34
01379,01,84.0,110,8,9
01380,01,84.0,98,7,8
01381,01,84.0,115,9,10
