DEPCOM;DEP;REG;PTOT;weight_fr;weight_reg;weight_dep
001209;001;84;754;2;10;12
001210;001;84;231;1;3;4
001211;001;84;1439;3;18;22
001212;001;84;743;2;10;12
001213;001;84;1332;2;17;21
001214;001;84;156;1;2;3
001215;001;84;134;1;2;3
001216;001;84;910;2;12;14
001219;001;84;171;1;3;3
001224;001;84;3176;5;40;49
001225;001;84;393;1;5;6
001227;001;84;657;1;9;10
001228;001;84;648;1;8;10
001229;001;84;1240;2;16;19
001230;001;84;320;1;4;5
001231;001;84;2012;3;25;31
001232;001;84;2291;4;29;35
001233;001;84;134;1;2;3
001234;001;84;175;1;3;3
001235;001;84;1207;2;15;19
001236;001;84;1019;2;13;16
001237;001;84;1720;3;22;27
001238;001;84;2650;4;33;41
001239;001;84;628;1;8;10
001240;001;84;658;1;9;10
001241;001;84;1368;3;17;21
001242;001;84;134;1;2;3
001243;001;84;1256;2;16;20
001244;001;84;7871;12;97;120
001245;001;84;934;2;12;15
001246;001;84;2209;4;28;34
001247;001;84;353;1;5;6
001248;001;84;2147;4;27;33
001249;001;84;10075;15;125;153
001250;001;84;2195;4;28;34
001252;001;84;801;2;10;13
001254;001;84;2040;4;26;31
001255;001;84;634;1;8;10
001257;001;84;354;1;5;6
001258;001;84;1231;2;16;19
001259;001;84;706;2;9;11
001260;001;84;305;1;4;5
001261;001;84;669;1;9;11
001262;001;84;7048;11;87;107
001263;001;84;3859;6;48;59
001264;001;84;1060;2;14;17
001265;001;84;3505;6;44;54
001266;001;84;2531;4;32;39
001267;001;84;1052;2;13;16
001268;001;84;256;1;4;4
001269;001;84;3584;6;45;55
001272;001;84;1531;3;19;24
001273;001;84;1784;3;22;28
001274;001;84;654;1;9;10
001275;001;84;2576;4;32;40
001276;001;84;1646;3;21;25
001277;001;84;121;1;2;2
001279;001;84;95;1;2;2
001280;001;84;142;1;2;3
001281;001;84;4575;7;57;70
001282;001;84;266;1;4;5
001283;001;84;22943;34;283;349
001284;001;84;692;2;9;11
001285;001;84;1235;2;16;19
001286;001;84;980;2;13;15
001288;001;84;2673;4;33;41
001289;001;84;6675;10;83;102
001290;001;84;1228;2;16;19
001291;001;84;845;2;11;13
001293;001;84;161;1;2;3
001294;001;84;888;2;11;14
001295;001;84;674;1;9;11
001296;001;84;415;1;6;7
001297;001;84;834;2;11;13
001298;001;84;134;1;2;3
001299;001;84;573;1;8;9
001301;001;84;2572;4;32;40
001302;001;84;165;1;3;3
001303;001;84;1738;3;22;27
001304;001;84;2993;5;37;46
001305;001;84;2303;4;29;35
001306;001;84;1690;3;21;26
001307;001;84;869;2;11;14
001308;001;84;826;2;11;13
001309;001;84;88;1;2;2
001310;001;84;252;1;4;4
001311;001;84;45;1;1;1
001313;001;84;8431;13;104;128
001314;001;84;1763;3;22;27
001317;001;84;330;1;5;6
001318;001;84;744;2;10;12
001319;001;84;468;1;6;8
001320;001;84;3796;6;47;58
001321;001;84;934;2;12;15
001322;001;84;4929;8;61;75
001323;001;84;993;2;13;16
001325;001;84;988;2;13;15
001328;001;84;594;1;8;10
001329;001;84;157;1;2;3
001330;001;84;191;1;3;3
001331;001;84;182;1;3;3
001332;001;84;773;2;10;12
001333;001;84;3408;6;42;52
001334;001;84;635;1;8;10
001335;001;84;396;1;5;7
001336;001;84;1176;2;15;18
001337;001;84;1292;2;16;20
001338;001;84;1229;2;16;19
001339;001;84;1475;3;19;23
001342;001;84;578;1;8;9
001343;001;84;1816;3;23;28
001344;001;84;5908;9;73;90
001345;001;84;2336;4;29;36
001346;001;84;884;2;11;14
001347;001;84;2029;3;25;31
001348;001;84;2938;5;37;45
001349;001;84;461;1;6;7
001350;001;84;2485;4;31;38
001351;001;84;1582;3;20;24
001352;001;84;577;1;8;9
001353;001;84;1695;3;21;26
001354;001;84;12725;19;157;194
001355;001;84;479;1;6;8
001356;001;84;219;1;3;4
001357;001;84;506;1;7;8
001358;001;84;437;1;6;7
001359;001;84;240;1;3;4
001360;001;84;1831;3;23;28
001361;001;84;1519;3;19;24
001362;001;84;784;2;10;12
001363;001;84;1802;3;23;28
001364;001;84;751;2;10;12
001365;001;84;1169;2;15;18
001366;001;84;1034;2;13;16
001367;001;84;753;2;10;12
001368;001;84;832;2;11;13
001369;001;84;950;2;12;15
001370;001;84;1749;3;22;27
001371;001;84;1304;2;17;20
001372;001;84;443;1;6;7
001373;001;84;1085;2;14;17
001374;001;84;1871;3;24;29
001375;001;84;807;2;10;13
001376;001;84;4006;6;50;61
001378;001;84;2625;4;33;40
001379;001;84;765;2;10;12
001380;001;84;692;2;9;11
001381;001;84;935;2;12;15
001382;001;84;285;1;4;5
001383;001;84;1549;3;20;24
001384;001;84;2302;4;29;35
001385;001;84;1017;2;13;16
001386;001;84;1219;2;16;19
001387;001;84;261;1;4;4
001388;001;84;1102;2;14;17
001389;001;84;1840;3;23;28
001390;001;84;1306;2;17;20
001391;001;84;281;1;4;5
001392;001;84;680;2;9;11
001393;001;84;535;1;7;9
001396;001;84;966;2;12;15
001397;001;84;1030;2;13;16
001398;001;84;1367;3;17;21
001399;001;84;2112;4;27;33
001400;001;84;140;1;2;3
001401;001;84;2124;4;27;33
001402;001;84;688;2;9;11
001403;001;84;1282;2;16;20
001404;001;84;136;1;2;3
001405;001;84;1275;2;16;20
001406;001;84;176;1;3;3
001407;001;84;1017;2;13;16
001408;001;84;683;2;9;11
001410;001;84;319;1;4;5
001411;001;84;279;1;4;5
001412;001;84;598;1;8;10
001415;001;84;460;1;6;7
001416;001;84;1047;2;13;16
001418;001;84;1113;2;14;17
001419;001;84;6215;10;77;95
001420;001;84;1756;3;22;27
001421;001;84;742;2;10;12
001422;001;84;1398;3;18;22
001423;001;84;1111;2;14;17
001424;001;84;1724;3;22;27
001425;001;84;293;1;4;5
001426;001;84;2654;4;33;41
001427;001;84;7009;11;87;107
001428;001;84;131;1;2;2
001429;001;84;700;2;9;11
001430;001;84;598;1;8;10
001431;001;84;1254;2;16;20
001432;001;84;297;1;4;5
001433;001;84;331;1;5;6
001434;001;84;447;1;6;7
001435;001;84;2246;4;28;35
001436;001;84;495;1;7;8
001437;001;84;246;1;4;4
001439;001;84;103;1;2;2
001441;001;84;724;2;9;11
001443;001;84;4884;8;61;75
001444;001;84;1190;2;15;19
001445;001;84;678;2;9;11
001446;001;84;1537;3;19;24
001447;001;84;1339;2;17;21
001448;001;84;384;1;5;6
001449;001;84;767;2;10;12
001450;001;84;3717;6;46;57
001451;001;84;6566;10;81;100
001452;001;84;1106;2;14;17
001453;001;84;735;2;10;12
001454;001;84;1118;2;14;17
001456;001;84;72;1;1;2
001457;001;84;3019;5;38;46
002001;002;32;506;1;9;10
002002;002;32;606;1;10;12
002003;002;32;1035;2;17;19
002004;002;32;185;1;4;4
002005;002;32;392;1;7;8
002006;002;32;264;1;5;5
002007;002;32;126;1;3;3
002008;002;32;295;1;5;6
002009;002;32;549;1;10;11
002010;002;32;181;1;3;4
002011;002;32;1209;2;20;23
002012;002;32;70;1;2;2
002013;002;32;413;1;7;8
002014;002;32;758;2;13;14
002015;002;32;75;1;2;2
002016;002;32;237;1;4;5
002017;002;32;319;1;6;6
002018;002;32;2584;4;43;48
002019;002;32;369;1;7;7
002020;002;32;460;1;8;9
002021;002;32;90;1;2;2
002022;002;32;409;1;7;8
002023;002;32;106;1;2;2
002024;002;32;53;1;1;1
002025;002;32;373;1;7;7
002027;002;32;230;1;4;5
002028;002;32;2663;4;44;49
002029;002;32;375;1;7;7
002030;002;32;273;1;5;5
002031;002;32;663;1;11;13
002032;002;32;257;1;5;5
002033;002;32;107;1;2;2
002034;002;32;122;1;3;3
002035;002;32;287;1;5;6
002036;002;32;83;1;2;2
002037;002;32;1453;3;24;27
002038;002;32;57;1;1;2
002039;002;32;172;1;3;4
002040;002;32;182;1;3;4
002041;002;32;827;2;14;16
002042;002;32;391;1;7;8
002043;002;32;70;1;2;2
002044;002;32;26;1;1;1
002046;002;32;563;1;10;11
002047;002;32;120;1;2;3
002048;002;32;138;1;3;3
002049;002;32;752;2;13;14
002050;002;32;332;1;6;7
002051;002;32;390;1;7;8
002052;002;32;145;1;3;3
002053;002;32;575;1;10;11
002054;002;32;464;1;8;9
002055;002;32;94;1;2;2
002056;002;32;178;1;3;4
002057;002;32;1443;3;24;27
002058;002;32;854;2;15;16
002059;002;32;2727;5;45;50
002060;002;32;275;1;5;6
002061;002;32;257;1;5;5
002062;002;32;140;1;3;3
002063;002;32;390;1;7;8
002064;002;32;3861;6;64;71
002065;002;32;614;1;11;12
002066;002;32;206;1;4;4
002067;002;32;219;1;4;5
002068;002;32;108;1;2;2
002069;002;32;113;1;2;3
002070;002;32;464;1;8;9
002071;002;32;667;1;11;13
002072;002;32;189;1;4;4
002073;002;32;658;1;11;13
002074;002;32;614;1;11;12
002075;002;32;201;1;4;4
002076;002;32;165;1;3;4
002077;002;32;394;1;7;8
002078;002;32;162;1;3;3
002079;002;32;152;1;3;3
002080;002;32;360;1;6;7
002081;002;32;448;1;8;9
002082;002;32;111;1;2;3
002083;002;32;764;2;13;14
002084;002;32;265;1;5;5
002085;002;32;1069;2;18;20
002086;002;32;1058;2;18;20
002087;002;32;31;1;1;1
002088;002;32;91;1;2;2
002089;002;32;1175;2;20;22
002090;002;32;223;1;4;5
002091;002;32;107;1;2;2
002093;002;32;1348;2;23;25
002094;002;32;456;1;8;9
002095;002;32;5754;9;95;106
002096;002;32;204;1;4;4
002097;002;32;261;1;5;5
002098;002;32;389;1;7;8
002099;002;32;241;1;4;5
002100;002;32;138;1;3;3
002101;002;32;198;1;4;4
002102;002;32;193;1;4;4
002103;002;32;1339;2;22;25
002104;002;32;106;1;2;2
002105;002;32;207;1;4;4
002106;002;32;833;2;14;16
002107;002;32;107;1;2;2
002108;002;32;162;1;3;3
002109;002;32;496;1;9;10
002110;002;32;2238;4;37;41
002111;002;32;720;2;12;14
002112;002;32;578;1;10;11
002114;002;32;1565;3;26;29
002115;002;32;209;1;4;4
002116;002;32;147;1;3;3
002117;002;32;67;1;2;2
002118;002;32;123;1;3;3
002119;002;32;347;1;6;7
002120;002;32;199;1;4;4
002121;002;32;248;1;5;5
002122;002;32;55;1;1;2
002123;002;32;309;1;6;6
002124;002;32;663;1;11;13
002125;002;32;216;1;4;4
002126;002;32;461;1;8;9
002127;002;32;194;1;4;4
002128;002;32;1568;3;26;29
002129;002;32;19;1;1;1
002130;002;32;200;1;4;4
002131;002;32;1922;3;32;36
002132;002;32;206;1;4;4
002133;002;32;417;1;7;8
002134;002;32;886;2;15;17
002135;002;32;1184;2;20;22
002136;002;32;132;1;3;3
002137;002;32;152;1;3;3
002138;002;32;192;1;4;4
002139;002;32;446;1;8;9
002140;002;32;461;1;8;9
002141;002;32;1867;3;31;35
002142;002;32;249;1;5;5
002143;002;32;198;1;4;4
002144;002;32;148;1;3;3
002145;002;32;564;1;10;11
002146;002;32;88;1;2;2
002148;002;32;260;1;5;5
002149;002;32;67;1;2;2
002150;002;32;64;1;2;2
002151;002;32;118;1;2;3
002152;002;32;90;1;2;2
002153;002;32;783;2;13;15
002154;002;32;368;1;7;7
002155;002;32;179;1;3;4
002156;002;32;254;1;5;5
002157;002;32;860;2;15;16
002158;002;32;286;1;5;6
002159;002;32;283;1;5;6
002160;002;32;550;1;10;11
002162;002;32;283;1;5;6
002163;002;32;2659;4;44;49
002164;002;32;323;1;6;6
002165;002;32;1680;3;28;31
002166;002;32;361;1;6;7
002167;002;32;895;2;15;17
002168;002;32;15486;23;255;284
002169;002;32;83;1;2;2
002170;002;32;130;1;3;3
002171;002;32;88;1;2;2
002172;002;32;259;1;5;5
002173;002;32;12317;19;203;226
002174;002;32;842;2;14;16
002175;002;32;154;1;3;3
002176;002;32;208;1;4;4
002177;002;32;144;1;3;3
002178;002;32;108;1;2;2
002179;002;32;402;1;7;8
002180;002;32;718;2;12;14
002181;002;32;81;1;2;2
002182;002;32;128;1;3;3
002183;002;32;188;1;4;4
002184;002;32;360;1;6;7
002185;002;32;419;1;7;8
002186;002;32;1398;3;23;26
002187;002;32;1124;2;19;21
002188;002;32;153;1;3;3
002189;002;32;370;1;7;7
002190;002;32;542;1;9;10
002191;002;32;515;1;9;10
002192;002;32;377;1;7;7
002193;002;32;67;1;2;2
002194;002;32;201;1;4;4
002195;002;32;939;2;16;18
002196;002;32;321;1;6;6
002197;002;32;638;1;11;12
002198;002;32;230;1;4;5
002199;002;32;644;1;11;12
002200;002;32;121;1;2;3
002201;002;32;444;1;8;9
002203;002;32;1329;2;22;25
002204;002;32;69;1;2;2
002205;002;32;251;1;5;5
002206;002;32;81;1;2;2
002207;002;32;217;1;4;4
002208;002;32;283;1;5;6
002209;002;32;695;2;12;13
002210;002;32;366;1;7;7
002211;002;32;288;1;5;6
002212;002;32;718;2;12;14
002213;002;32;334;1;6;7
002214;002;32;62;1;2;2
002215;002;32;807;2;14;15
002216;002;32;310;1;6;6
002217;002;32;1031;2;17;19
002218;002;32;636;1;11;12
002219;002;32;289;1;5;6
002220;002;32;451;1;8;9
002221;002;32;154;1;3;3
002222;002;32;31;1;1;1
002223;002;32;312;1;6;6
002224;002;32;354;1;6;7
002225;002;32;90;1;2;2
002226;002;32;1856;3;31;34
002227;002;32;134;1;3;3
002228;002;32;339;1;6;7
002229;002;32;67;1;2;2
002230;002;32;199;1;4;4
002231;002;32;947;2;16;18
002232;002;32;365;1;6;7
002233;002;32;151;1;3;3
002234;002;32;82;1;2;2
002235;002;32;120;1;2;3
002236;002;32;349;1;6;7
002237;002;32;1515;3;25;28
002238;002;32;1868;3;31;35
002239;002;32;1314;2;22;25
002240;002;32;260;1;5;5
002241;002;32;107;1;2;2
002242;002;32;658;1;11;13
002243;002;32;2952;5;49;55
002244;002;32;67;1;2;2
002245;002;32;1824;3;30;34
002246;002;32;611;1;11;12
002248;002;32;160;1;3;3
002249;002;32;102;1;2;2
002250;002;32;80;1;2;2
002251;002;32;29;1;1;1
002252;002;32;73;1;2;2
002253;002;32;358;1;6;7
002254;002;32;133;1;3;3
002255;002;32;145;1;3;3
002256;002;32;128;1;3;3
002257;002;32;449;1;8;9
002258;002;32;392;1;7;8
002259;002;32;413;1;7;8
002260;002;32;661;1;11;13
002261;002;32;400;1;7;8
002262;002;32;219;1;4;5
002263;002;32;114;1;2;3
002264;002;32;762;2;13;14
002265;002;32;101;1;2;2
002266;002;32;51;1;1;1
002267;002;32;299;1;5;6
002268;002;32;668;1;11;13
002269;002;32;160;1;3;3
002270;002;32;166;1;3;4
002271;002;32;134;1;3;3
002272;002;32;77;1;2;2
002273;002;32;227;1;4;5
002274;002;32;206;1;4;4
002275;002;32;329;1;6;7
002276;002;32;127;1;3;3
002277;002;32;346;1;6;7
002278;002;32;36;1;1;1
002279;002;32;575;1;10;11
002280;002;32;404;1;7;8
002281;002;32;272;1;5;5
002282;002;32;431;1;8;8
002283;002;32;293;1;5;6
002284;002;32;98;1;2;2
002286;002;32;869;2;15;16
002287;002;32;1046;2;18;20
002288;002;32;349;1;6;7
002289;002;32;428;1;8;8
002290;002;32;2851;5;47;53
002291;002;32;420;1;7;8
002292;002;32;1280;2;21;24
002293;002;32;567;1;10;11
002294;002;32;221;1;4;5
002295;002;32;867;2;15;16
002296;002;32;1229;2;21;23
002297;002;32;119;1;2;3
002298;002;32;1468;3;25;27
