age,reg,weight_reg
24,93.0,70
24,94.0,5
25,1.0,27
25,11.0,225
25,24.0,35
25,27.0,38
25,28.0,46
25,32.0,93
25,44.0,85
25,52.0,52
25,53.0,45
25,75.0,78
25,76.0,81
25,84.0,119
25,93.0,71
25,94.0,5
26,1.0,27
26,11.0,232
26,24.0,34
26,27.0,38
26,28.0,46
26,32.0,93
26,44.0,85
26,52.0,54
26,53.0,44
26,75.0,77
26,76.0,82
26,84.0,119
26,93.0,70
26,94.0,5
27,1.0,26
27,11.0,230
27,24.0,36
27,27.0,37
27,28.0,47
27,32.0,95
27,44.0,86
27,52.0,54
27,53.0,46
27,75.0,79
27,76.0,81
27,84.0,121
27,93.0,72
27,94.0,5
28,1.0,26
28,11.0,302
28,24.0,47
28,27.0,52
28,28.0,63
28,32.0,126
28,44.0,113
28,52.0,72
28,53.0,60
28,75.0,104
28,76.0,107
28,84.0,162
28,93.0,96
28,94.0,7
29,1.0,35
29,11.0,300
29,24.0,48
29,27.0,52
29,28.0,64
29,32.0,126
29,44.0,114
29,52.0,73
29,53.0,62
29,75.0,104
29,76.0,110
29,84.0,161
29,93.0,98
29,94.0,7
30,1.0,34
30,11.0,301
30,24.0,47
30,27.0,52
30,28.0,64
30,32.0,127
30,44.0,113
30,52.0,75
30,53.0,63
30,75.0,105
30,76.0,109
30,84.0,162
30,93.0,96
30,94.0,7
31,1.0,33
31,11.0,300
31,24.0,48
31,27.0,52
31,28.0,64
31,32.0,128
31,44.0,115
31,52.0,76
31,53.0,62
31,75.0,107
31,76.0,111
31,84.0,166
31,93.0,98
31,94.0,7
32,1.0,35
32,11.0,299
32,24.0,49
32,27.0,54
32,28.0,65
32,32.0,129
32,44.0,115
32,52.0,78
32,53.0,63
32,75.0,109
32,76.0,113
32,84.0,169
32,93.0,100
32,94.0,7
33,1.0,36
33,11.0,303
33,24.0,49
33,27.0,54
33,28.0,65
33,32.0,129
33,44.0,117
33,52.0,81
33,53.0,67
33,75.0,114
33,76.0,115
33,84.0,170
33,93.0,102
33,94.0,7
34,1.0,35
34,11.0,301
34,24.0,50
34,27.0,56
34,28.0,67
34,32.0,131
34,44.0,116
34,52.0,81
34,53.0,69
34,75.0,116
34,76.0,118
34,84.0,172
34,93.0,101
34,94.0,7
35,1.0,36
35,11.0,301
35,24.0,50
35,27.0,54
35,28.0,67
35,32.0,133
35,44.0,116
35,52.0,81
35,53.0,69
35,75.0,116
35,76.0,117
35,84.0,172
35,93.0,104
35,94.0,7
36,1.0,36
36,11.0,299
36,24.0,50
36,27.0,54
36,28.0,67
36,32.0,129
36,44.0,116
36,52.0,79
36,53.0,68
36,75.0,116
36,76.0,118
36,84.0,171
36,93.0,100
36,94.0,7
37,1.0,37
37,11.0,298
37,24.0,49
37,27.0,53
37,28.0,65
37,32.0,125
37,44.0,113
37,52.0,80
37,53.0,66
37,75.0,115
37,76.0,116
37,84.0,168
37,93.0,102
37,94.0,7
38,1.0,37
38,11.0,293
38,24.0,50
38,27.0,52
38,28.0,64
38,32.0,124
38,44.0,111
38,52.0,80
38,53.0,69
38,75.0,116
38,76.0,114
38,84.0,167
38,93.0,100
38,94.0,7
39,1.0,40
39,11.0,299
39,24.0,52
39,27.0,54
39,28.0,65
39,32.0,126
39,44.0,113
39,52.0,80
39,53.0,70
39,75.0,119
39,76.0,116
39,84.0,168
39,93.0,104
39,94.0,7
40,1.0,40
40,11.0,299
40,24.0,53
40,27.0,55
40,28.0,68
40,32.0,130
40,44.0,116
40,52.0,83
40,53.0,71
40,75.0,122
40,76.0,116
40,84.0,173
40,93.0,104
40,94.0,7
41,1.0,42
41,11.0,300
41,24.0,56
41,27.0,57
41,28.0,70
41,32.0,134
41,44.0,120
41,52.0,86
41,53.0,75
41,75.0,126
41,76.0,123
41,84.0,178
41,93.0,107
41,94.0,8
42,1.0,43
42,11.0,302
42,24.0,58
42,27.0,61
42,28.0,72
42,32.0,138
42,44.0,123
42,52.0,87
42,53.0,77
42,75.0,131
42,76.0,126
42,84.0,186
42,93.0,112
42,94.0,8
43,1.0,44
43,11.0,305
43,24.0,59
43,27.0,63
43,28.0,75
43,32.0,139
43,44.0,128
43,52.0,89
43,53.0,79
43,75.0,137
43,76.0,131
43,84.0,188
43,93.0,116
43,94.0,8
44,1.0,44
44,11.0,300
44,24.0,60
44,27.0,63
44,28.0,76
44,32.0,140
44,44.0,130
44,52.0,91
44,53.0,80
44,75.0,138
44,76.0,131
44,84.0,189
44,93.0,116
44,94.0,9
45,1.0,46
45,11.0,298
45,24.0,61
45,27.0,63
45,28.0,75
45,32.0,138
45,44.0,130
45,52.0,88
45,53.0,79
45,75.0,139
45,76.0,131
45,84.0,190
