cim10;init;gpe;charls
C505;;K;tum
C506;;K;tum
C508;;K;tum
C509;;K;tum
C51;;K;tum
C510;;K;tum
C511;;K;tum
C512;;K;tum
C518;;K;tum
C519;1;K;tum
C52;;K;tum
C53;;K;tum
C530;;K;tum
C531;;K;tum
C538;;K;tum
C539;1;K;tum
C54;;K;tum
C540;;K;tum
C541;1;K;tum
C542;;K;tum
C543;;K;tum
C548;;K;tum
C549;;K;tum
C55;1;K;tum
C56;1;K;tum
C57;;K;tum
C570;;K;tum
C571;;K;tum
C572;;K;tum
C573;;K;tum
C574;1;K;tum
C577;;K;tum
C578;;K;tum
C579;;K;tum
C58;;K;tum
C60;;K;tum
C600;;K;tum
C601;;K;tum
C602;;K;tum
C608;;K;tum
C609;1;K;tum
C61;;K;tum
C62;;K;tum
C620;;K;tum
C621;;K;tum
C629;;K;tum
C63;;K;tum
C630;;K;tum
C631;;K;tum
C632;;K;tum
C637;;K;tum
C638;;K;tum
C639;;K;tum
C64;1;K;tum
C65;;K;tum
C66;;K;tum
C67;;K;tum
C670;;K;tum
C671;;K;tum
C672;;K;tum
C673;;K;tum
C674;;K;tum
C675;;K;tum
C676;;K;tum
C677;;K;tum
C678;;K;tum
C679;1;K;tum
C68;;K;tum
C680;;K;tum
C681;;K;tum
C688;;K;tum
C689;;K;tum
C69;;K;tum
C690;;K;tum
C691;;K;tum
C692;;K;tum
C693;;K;tum
C694;;K;tum
C695;;K;tum
C696;;K;tum
C698;;K;tum
C699;1;K;tum
C70;;K;tum
C700;;K;tum
C701;;K;tum
C709;;K;tum
C71;;K;tum
C710;1;K;tum
C711;;K;tum
C712;;K;tum
C713;;K;tum
C714;;K;tum
C715;;K;tum
C716;;K;tum
C717;;K;tum
C718;;K;tum
C719;;K;tum
C72;;K;tum
C720;;K;tum
C721;;K;tum
C722;;K;tum
C723;;K;tum
C724;;K;tum
C725;;K;tum
C728;;K;tum
C729;;K;tum
C73;;K;tum
C74;;K;tum
C740;;K;tum
C741;;K;tum
C749;;K;tum
C75;;K;tum
C750;;K;tum
C751;;K;tum
C752;;K;tum
C753;;K;tum
C754;;K;tum
C755;;K;tum
C758;;K;tum
C759;;K;tum
C76;;K;tum
C760;;K;tum
C761;;K;tum
C762;;K;tum
C763;;K;tum
C764;;K;tum
C765;;K;tum
C767;;K;tum
C768;;K;tum
C77;;K;meta
C770;;K;meta
C771;;K;meta
C772;;K;meta
C773;;K;meta
C774;;K;meta
C775;;K;meta
C778;;K;meta
C779;;K;meta
C78;;K;meta
C780;;K;meta
C781;;K;meta
C782;;K;meta
C783;;K;meta
C784;;K;meta
C785;;K;meta
C786;;K;meta
C787;;K;meta
C788;;K;meta
C79;;K;meta
C790;;K;meta
C791;;K;meta
C792;;K;meta
C793;;K;meta
C794;;K;meta
C795;;K;meta
C796;;K;meta
C797;;K;meta
C798;;K;meta
C799;;K;meta
C80;;K;meta
C80+0;;K;meta
C800;;K;meta
C809;;K;meta
C81;;K;tum
C810;;K;tum
C811;;K;tum
C812;;K;tum
C813;;K;tum
C814;;K;tum
C817;;K;tum
C819;;K;tum
C82;;K;tum
C820;;K;tum
C821;;K;tum
C822;;K;tum
C823;;K;tum
C824;;K;tum
C825;;K;tum
C826;;K;tum
C827;;K;tum
C829;;K;tum
C83;;K;tum
C830;;K;tum
C831;;K;tum
C832;;K;tum
C833;;K;tum
C834;;K;tum
C835;;K;tum
C836;;K;tum
C837;;K;tum
C838;;K;tum
C839;;K;tum
C84;;K;tum
C840;;K;tum
C841;;K;tum
C842;;K;tum
C843;;K;tum
C844;;K;tum
C845;;K;tum
C846;;K;tum
C847;;K;tum
C848;;K;tum
C849;;K;tum
C85;;K;tum
C850;;K;tum
C851;;K;tum
C852;;K;tum
C857;;K;tum
C859;;K;tum
C86;;K;
C860;;K;
C861;;K;
C862;;K;
C863;;K;
C864;;K;
C865;;K;
C866;;K;
C88;;K;tum
C880;;K;tum
C881;;K;tum
C882;;K;tum
C883;;K;tum
C884;;K;tum
C887;;K;tum
C889;;K;tum
C90;;K;tum
C900;;K;tum
C901;;K;tum
C902;;K;tum
C903;;K;tum
C91;;K;tum
C910;;K;tum
C911;;K;tum
C912;;K;tum
C913;;K;tum
C914;;K;tum
C915;;K;tum
C916;;K;tum
C917;;K;tum
C918;;K;tum
C919;;K;tum
C92;;K;tum
C920;;K;tum
C921;;K;tum
C922;;K;tum
C923;;K;tum
C924;;K;tum
C925;;K;tum
C926;;K;tum
C927;;K;tum
C928;;K;tum
C929;;K;tum
C93;;K;tum
C930;;K;tum
C931;;K;tum
C932;;K;tum
C933;;K;tum
C937;;K;tum
C939;;K;tum
C94;;K;tum
C940;;K;tum
C941;;K;tum
C942;;K;tum
C943;;K;tum
C944;;K;tum
C945;;K;tum
C946;;K;tum
C947;;K;tum
C95;;K;tum
C950;;K;tum
C951;;K;tum
C952;;K;tum
C957;;K;tum
C959;;K;tum
C96;;K;tum
C960;;K;tum
C961;;K;tum
C962;;K;tum
C963;;K;tum
C964;;K;tum
C965;;K;tum
C966;;K;tum
C967;;K;tum
C968;;K;tum
C969;;K;tum
C97;;K;tum
D00;;K;
D000;;K;
D001;;K;
D002;;K;
D01;;K;
D010;;K;
D011;;K;
D012;;K;
D013;;K;
D014;;K;
D015;;K;
D017;;K;
D019;;K;
D02;;K;
D020;;K;
D021;;K;
D022;;K;
D023;;K;
D024;;K;
D03;;K;
D030;;K;
D031;;K;
D032;;K;
D033;;K;
D034;;K;
D035;;K;
D036;;K;
D037;;K;
D038;;K;
D039;;K;
D04;;K;
D040;;K;
D041;;K;
D042;;K;
D043;;K;
D044;;K;
D045;;K;
D046;;K;
D047;;K;
D048;;K;
D049;;K;
D05;;K;
D050;;K;
D051;;K;
D057;;K;
D059;;K;
D06;;K;
D060;;K;
D061;;K;
D067;;K;
D069;;K;
D07;;K;
D070;;K;
D071;;K;
D072;;K;
D073;;K;
D074;;K;
D075;;K;
D076;;K;
D09;;K;
D090;;K;
D091;;K;
D092;;K;
D093;;K;
D097;;K;
D099;;K;
D32;;meninge;
D320;;meninge;
D321;;meninge;
D329;;meninge;
D37;;tumeur;
D370;;tumeur;
D371;;tumeur;
D372;;tumeur;
D373;;tumeur;
D374;;tumeur;
D375;;tumeur;
D376;;tumeur;
D377;;tumeur;
D379;;tumeur;
D38;;tumeur;
D380;;tumeur;
D381;;tumeur;
D382;;tumeur;
D383;;tumeur;
D384;;tumeur;
D385;;tumeur;
D386;;tumeur;
D40;;tumeur;
D400;;tumeur;
D401;;tumeur;
D407;;tumeur;
D409;;tumeur;
D41;;tumeur;
D410;;tumeur;
D411;;tumeur;
D412;;tumeur;
D413;;tumeur;
D414;;tumeur;
D417;;tumeur;
D419;;tumeur;
D42;;tumeur;
D420;;tumeur;
D421;;tumeur;
D429;;tumeur;
D43;;tumeur;
D430;;tumeur;
D431;;tumeur;
D432;;tumeur;
D433;;tumeur;
D434;;tumeur;
D437;;tumeur;
D439;;tumeur;
D44;;tumeur;
D440;;tumeur;
D441;;tumeur;
D442;;tumeur;
D443;;tumeur;
D444;;tumeur;
D4440;;tumeur;
D4448;;tumeur;
D445;;tumeur;
D446;;tumeur;
