cim10;init;gpe;charls
G8100;;;hemi
G8101;;;hemi
G8108;;;hemi
G811;;;hemi
G819;;;hemi
G82;;;hemi
G820;;;hemi
G821;;;hemi
G822;;;hemi
G823;;;hemi
G824;;;hemi
G825;;;hemi
G83;;;hemi
G830;;;hemi
G831;;;hemi
G832;;;hemi
G833;;;hemi
G834;;;hemi
G839;;;hemi
G93;;brain_o;
G930;;brain_o;
G931;;brain_o;
G932;;brain_o;
G934;;brain_o;
G935;;brain_o;
G936;;brain_o;
G938;;brain_o;
G939;;brain_o;
H340;;;cvd
I099;;hf;
I10;;hta;
I110;;hf;chf
I120;;;rd
I130;;hf;chf
I131;;;rd
I132;;hf;chf
I15;;hta;
I150;;hta;
I151;;hta;
I152;;hta;
I158;;hta;
I159;;hta;
I20;;ihd;
I200;;ihd;
I200+0;;ihd;
I201;;ihd;
I208;;ihd;
I209;;ihd;
I21;;ihd;mi
I210;;ihd;mi
I2100;;ihd;mi
I21000;;ihd;mi
I2108;;ihd;mi
I211;;ihd;mi
I2110;;ihd;mi
I21100;;ihd;mi
I2118;;ihd;mi
I212;;ihd;mi
I2120;;ihd;mi
I21200;;ihd;mi
I2128;;ihd;mi
I213;;ihd;mi
I2130;;ihd;mi
I21300;;ihd;mi
I2138;;ihd;mi
I214;;ihd;mi
I2140;;ihd;mi
I21400;;ihd;mi
I2148;;ihd;mi
I219;;ihd;mi
I2190;;ihd;mi
I21900;;ihd;mi
I2198;;ihd;mi
I22;;ihd;ihd
I220;;ihd;ihd
I2200;;ihd;ihd
I22000;;ihd;ihd
I2208;;ihd;ihd
I221;;ihd;ihd
I2210;;ihd;ihd
I22100;;ihd;ihd
I2218;;ihd;ihd
I228;;ihd;ihd
I2280;;ihd;ihd
I22800;;ihd;ihd
I2288;;ihd;ihd
I229;;ihd;ihd
I2290;;ihd;ihd
I22900;;ihd;ihd
I2298;;ihd;ihd
I23;;ihd;ihd
I230;;ihd;ihd
I231;;ihd;ihd
I232;;ihd;ihd
I233;;ihd;ihd
I234;;ihd;ihd
I235;;ihd;ihd
I236;;ihd;ihd
I238;;ihd;ihd
I24;;ihd;ihd
I240;;ihd;ihd
I241;;ihd;ihd
I248;;ihd;ihd
I249;;ihd;ihd
I25;;ihd;ihd
I250;;ihd;ihd
I251;;ihd;ihd
I252;;ihd;ihd
I253;;ihd;ihd
I254;;ihd;ihd
I255;;ihd;ihd
I256;;ihd;ihd
I258;;ihd;ihd
I259;;ihd;ihd
I278;;;cpd
I279;;;cpd
I42;;hf;
I420;;hf;
I421;;hf;
I422;;hf;
I423;;hf;
I424;;hf;
I425;;hf;
I426;;alcool;
I426;;hf;
I427;;hf;
I428;;hf;
I429;;hf;
I43;;hf;
I430;;hf;
I431;;hf;
I432;;hf;
I438;;hf;
I48;;af;
I480;;af;
I481;;af;
I482;;af;
I483;;af;
I484;;af;
I489;;af;
I50;;hf;chf
I500;;hf;chf
I501;;hf;chf
I509;;hf;chf
I60;;;cvd
I600;;;cvd
I601;;;cvd
I602;;;cvd
I603;;;cvd
I604;;;cvd
I605;;;cvd
I606;;;cvd
I607;;;cvd
I608;;;cvd
I609;;;cvd
I61;;;cvd
I610;;;cvd
I611;;;cvd
I612;;;cvd
I613;;;cvd
I614;;;cvd
I615;;;cvd
I616;;;cvd
I618;;;cvd
I619;;;cvd
I62;;;cvd
I620;;;cvd
I621;;;cvd
I629;;;cvd
I63;;;cvd
I630;;is;cvd
I631;;is;cvd
I632;;is;cvd
I633;;is;cvd
I634;;is;cvd
I635;;is;cvd
I636;;;cvd
I638;;;cvd
I639;;;cvd
I64;;;cvd
I65;;;cvd
I650;;;cvd
I651;;;cvd
I652;;;cvd
I653;;;cvd
I658;;;cvd
I659;;;cvd
I66;;;cvd
I660;;;cvd
I661;;;cvd
I662;;;cvd
I663;;;cvd
I664;;;cvd
I668;;;cvd
I669;;;cvd
I67;;;cvd
I670;;;cvd
I671;;;cvd
I672;;;cvd
I673;;;cvd
I674;;;cvd
I675;;;cvd
I676;;;cvd
I677;;;cvd
I678;;;cvd
I679;;;cvd
I68;;;cvd
I680;;;cvd
I681;;;cvd
I682;;;cvd
I688;;;cvd
I69;;;cvd
I690;;;cvd
I691;;;cvd
I692;;;cvd
I693;;;cvd
I694;;;cvd
I698;;;cvd
I70;;athe_emb;pvd
I700;;athe_emb;pvd
I7000;;athe_emb;pvd
I7001;;athe_emb;pvd
I701;;athe_emb;pvd
I702;;athe_emb;pvd
I7020;;athe_emb;pvd
I7021;;athe_emb;pvd
I708;;athe_emb;pvd
I7080;;athe_emb;pvd
I7081;;athe_emb;pvd
I709;;athe_emb;pvd
I7090;;athe_emb;pvd
I7091;;athe_emb;pvd
I71;;;pvd
I710;;;pvd
I711;;;pvd
I712;;;pvd
I713;;;pvd
I714;;;pvd
I715;;;pvd
I716;;;pvd
I718;;;pvd
I719;;;pvd
I731;;smoke;pvd
I738;;;pvd
I739;;;pvd
I74;;athe_emb;
I740;;athe_emb;
I741;;athe_emb;
I742;;athe_emb;
I743;;athe_emb;
I744;;athe_emb;
I745;;athe_emb;
I748;;athe_emb;
I749;;athe_emb;
I771;;;pvd
I790;;;pvd
I792;;;pvd
I850;;ld;msld
I859;;ld;msld
I864;;ld;msld
I982;;ld;msld
J40;;;cpd
J41;;smoke;cpd
J410;;smoke;cpd
J411;;smoke;cpd
J418;;smoke;cpd
J42;;smoke;cpd
J43;;smoke;cpd
J430;;smoke;cpd
J431;;smoke;cpd
J432;;smoke;cpd
J438;;smoke;cpd
J439;;smoke;cpd
J44;;smoke;cpd
J440;;smoke;cpd
J441;;smoke;cpd
J448;;smoke;cpd
J449;;smoke;cpd
J45;;;cpd
J450;;;cpd
J451;;;cpd
J458;;;cpd
J459;;;cpd
J46;;;cpd
J47;;;cpd
J60;;;cpd
J61;;;cpd
J62;;;cpd
J620;;;cpd
J628;;;cpd
J63;;;cpd
J630;;;cpd
J631;;;cpd
J632;;;cpd
J633;;;cpd
J634;;;cpd
J635;;;cpd
J638;;;cpd
J64;;;cpd
J65;;;cpd
J66;;;cpd
J660;;;cpd
J661;;;cpd
J662;;;cpd
J668;;;cpd
J67;;;cpd
J670;;;cpd
J671;;;cpd
J672;;;cpd
J673;;;cpd
J674;;;cpd
J675;;;cpd
J676;;;cpd
J677;;;cpd
J678;;;cpd
J679;;;cpd
J684;;;cpd
J701;;;cpd
J703;;;cpd
K25;;ulcer;ulcer
K250;;ulcer;ulcer
K251;;ulcer;ulcer
K252;;ulcer;ulcer
K253;;ulcer;ulcer
K254;;ulcer;ulcer
K255;;ulcer;ulcer
K256;;ulcer;ulcer
K257;;ulcer;ulcer
K259;;ulcer;ulcer
K26;;ulcer;ulcer
K260;;ulcer;ulcer
K261;;ulcer;ulcer
K262;;ulcer;ulcer
K263;;ulcer;ulcer
K264;;ulcer;ulcer
K265;;ulcer;ulcer
K266;;ulcer;ulcer
K267;;ulcer;ulcer
K269;;ulcer;ulcer
K27;;ulcer;ulcer
K270;;ulcer;ulcer
K271;;ulcer;ulcer
K272;;ulcer;ulcer
K273;;ulcer;ulcer
K274;;ulcer;ulcer
K275;;ulcer;ulcer
K276;;ulcer;ulcer
K277;;ulcer;ulcer
K279;;ulcer;ulcer
K28;;ulcer;ulcer
K280;;ulcer;ulcer
K281;;ulcer;ulcer
K282;;ulcer;ulcer
K283;;ulcer;ulcer
K284;;ulcer;ulcer
K285;;ulcer;ulcer
K286;;ulcer;ulcer
K287;;ulcer;ulcer
K289;;ulcer;ulcer
K292;;alcool;
K551;;;pvd
K558;;;pvd
K559;;;pvd
K70;;ld;
K700;;ld;mld
K701;;ld;mld
K702;;ld;mld
K703;;ld;mld
K704;;ld;msld
K709;;ld;mld
K710;;ld;
K711;;ld;msld
K712;;ld;
K713;;ld;mld
K714;;ld;mld
K715;;ld;mld
K716;;ld;
K717;;ld;mld
K718;;ld;
K719;;ld;
K720;;;
K721;;ld;msld
K729;;ld;msld
K730;;ld;mld
K731;;ld;mld
K732;;ld;mld
K738;;ld;mld
K739;;ld;mld
K74;;ld;mld
K740;;ld;mld
K741;;ld;mld
K742;;ld;mld
K743;;ld;mld
K744;;ld;mld
K745;;ld;mld
K746;;ld;mld
K750;;ld;
K751;;ld;
K752;;ld;
K753;;ld;
K754;;ld;
K758;;ld;
K759;;ld;
K760;;ld;mld
K761;;ld;
K762;;ld;mld
K763;;ld;mld
K764;;ld;mld
K765;;ld;msld
K766;;ld;msld
K767;;ld;msld
K768;;ld;mld
K769;;ld;mld
K770;;ld;
K778;;ld;
K85;;pancreas;
K850;;pancreas;
K851;;pancreas;
K852;;pancreas;
K853;;pancreas;
K858;;pancreas;
K859;;pancreas;
K860;;alcool;
M05;;rhd;rhd
M050;;rhd;rhd
M0500;;rhd;rhd
M0501;;rhd;rhd
M0502;;rhd;rhd
M0503;;rhd;rhd
M0504;;rhd;rhd
M0505;;rhd;rhd
M0506;;rhd;rhd
M0507;;rhd;rhd
M0508;;rhd;rhd
M0509;;rhd;rhd
M051;;rhd;rhd
M0510;;rhd;rhd
M0511;;rhd;rhd
M0512;;rhd;rhd
M0513;;rhd;rhd
M0514;;rhd;rhd
M0515;;rhd;rhd
M0516;;rhd;rhd
M0517;;rhd;rhd
M0518;;rhd;rhd
M0519;;rhd;rhd
M052;;rhd;rhd
M0520;;rhd;rhd
M0521;;rhd;rhd
M0522;;rhd;rhd
M0523;;rhd;rhd
M0524;;rhd;rhd
M0525;;rhd;rhd
M0526;;rhd;rhd
M0527;;rhd;rhd
M0528;;rhd;rhd
M0529;;rhd;rhd
M053;;rhd;rhd
M0530;;rhd;rhd
M0531;;rhd;rhd
M0532;;rhd;rhd
M0533;;rhd;rhd
M0534;;rhd;rhd
M0535;;rhd;rhd
M0536;;rhd;rhd
M0537;;rhd;rhd
M0538;;rhd;rhd
M0539;;rhd;rhd
M058;;rhd;rhd
M0580;;rhd;rhd
M0581;;rhd;rhd
M0582;;rhd;rhd
M0583;;rhd;rhd
M0584;;rhd;rhd
M0585;;rhd;rhd
M0586;;rhd;rhd
M0587;;rhd;rhd
M0588;;rhd;rhd
M0589;;rhd;rhd
M059;;rhd;rhd
M0590;;rhd;rhd
M0591;;rhd;rhd
M0592;;rhd;rhd
M0593;;rhd;rhd
M0594;;rhd;rhd
M0595;;rhd;rhd
M0596;;rhd;rhd
M0597;;rhd;rhd
M0598;;rhd;rhd
M0599;;rhd;rhd
M06;;rhd;rhd
M060;;rhd;rhd
M0600;;rhd;rhd
M0601;;rhd;rhd
M0602;;rhd;rhd
M0603;;rhd;rhd
M0604;;rhd;rhd
M0605;;rhd;rhd
M0606;;rhd;rhd
M0607;;rhd;rhd
M0608;;rhd;rhd
M0609;;rhd;rhd
M061;;rhd;rhd
M0610;;rhd;rhd
M0611;;rhd;rhd
M0612;;rhd;rhd
M0613;;rhd;rhd
M0614;;rhd;rhd
M0615;;rhd;rhd
M0616;;rhd;rhd
M0617;;rhd;rhd
M0618;;rhd;rhd
M0619;;rhd;rhd
M062;;rhd;rhd
M0620;;rhd;rhd
M0621;;rhd;rhd
M0622;;rhd;rhd
M0623;;rhd;rhd
M0624;;rhd;rhd
M0625;;rhd;rhd
M0626;;rhd;rhd
M0627;;rhd;rhd
M0628;;rhd;rhd
M0629;;rhd;rhd
M063;;rhd;rhd
M0630;;rhd;rhd
M0631;;rhd;rhd
M0632;;rhd;rhd
M0633;;rhd;rhd
M0634;;rhd;rhd
M0635;;rhd;rhd
M0636;;rhd;rhd
M0637;;rhd;rhd
M0638;;rhd;rhd
M0639;;rhd;rhd
M064;;rhd;rhd
M0640;;rhd;rhd
M0641;;rhd;rhd
M0642;;rhd;rhd
M0643;;rhd;rhd
M0644;;rhd;rhd
M0645;;rhd;rhd
M0646;;rhd;rhd
M0647;;rhd;rhd
M0648;;rhd;rhd
M0649;;rhd;rhd
M068;;rhd;rhd
M0680;;rhd;rhd
M0681;;rhd;rhd
M0682;;rhd;rhd
M0683;;rhd;rhd
M0684;;rhd;rhd
M0685;;rhd;rhd
M0686;;rhd;rhd
M0687;;rhd;rhd
M0688;;rhd;rhd
M0689;;rhd;rhd
M069;;rhd;rhd
M0690;;rhd;rhd
M0691;;rhd;rhd
M0692;;rhd;rhd
M0693;;rhd;rhd
M0694;;rhd;rhd
M0695;;rhd;rhd
M0696;;rhd;rhd
M0697;;rhd;rhd
M0698;;rhd;rhd
M0699;;rhd;rhd
M315;;rhd;rhd
M32;;rhd;rhd
M320;;rhd;rhd
M321;;rhd;rhd
M328;;rhd;rhd
M329;;rhd;rhd
M33;;rhd;rhd
M330;;rhd;rhd
M331;;rhd;rhd
M332;;rhd;rhd
M339;;rhd;rhd
M34;;rhd;rhd
M340;;rhd;rhd
M341;;rhd;rhd
M342;;rhd;rhd
M348;;rhd;rhd
M349;;rhd;rhd
M351;;rhd;rhd
M353;;rhd;rhd
M360;;rhd;rhd
N032;;;rd
N033;;;rd
N034;;;rd
N035;;;rd
N036;;;rd
N037;;;rd
N052;;;rd
N053;;;rd
N054;;;rd
N055;;;rd
N056;;;rd
N057;;;rd
N14;;;
N141;;;
N142;;;
N144;;;
N17;;;
N170;;;
N171;;;
N172;;;
N178;;;
N179;;;
N18;;;rd
N180;;;rd
N181;;;rd
N182;;;rd
N183;;;rd
N184;;;rd
N185;;;rd
N188;;;rd
N189;;;rd
N19;;;rd
N250;;;rd
N999;;;
Q282;;brain_malf;
R160;;ld;
R17;;ld;
N392;;;
R740;;ld;
R75;;hiv;
R791;;ld;
R822;;ld;
R945;;ld;
S020;;brain_traum;
S021;;brain_traum;
S027;;brain_traum;
S029;;brain_traum;
S06;;brain_traum;
S060;;brain_traum;
S0600;;brain_traum;
S0601;;brain_traum;
S061;;brain_traum;
S0610;;brain_traum;
S0611;;brain_traum;
S062;;brain_traum;
S0620;;brain_traum;
S0621;;brain_traum;
S063;;brain_traum;
S0630;;brain_traum;
S0631;;brain_traum;
S064;;brain_traum;
S0640;;brain_traum;
S0641;;brain_traum;
S065;;brain_traum;
S0650;;brain_traum;
S0651;;brain_traum;
S066;;brain_traum;
S0660;;brain_traum;
S0661;;brain_traum;
S067;;brain_traum;
S0670;;brain_traum;
S0671;;brain_traum;
S068;;brain_traum;
S0680;;brain_traum;
S0681;;brain_traum;
S069;;brain_traum;
S0690;;brain_traum;
S0691;;brain_traum;
S07;;brain_traum;
S070;;brain_traum;
S071;;brain_traum;
S078;;brain_traum;
S079;;brain_traum;
T51;;alcool;
T510;;alcool;
T511;;alcool;
T512;;alcool;
T513;;alcool;
T518;;alcool;
T519;;alcool;
T652;;smoke;
T864;;ld;
Z21;;hiv;hiv
Z490;;;rd
Z491;;;rd
Z492;;;rd
Z502;;alcool;
Z510;;radioth;
Z5100;;radioth;
Z5101;;radioth;
Z511;;chimio;
Z714;;alcool;
Z716;;smoke;
Z720;;smoke;
Z721;;alcool;
Z940;;;rd
Z944;;ld;mld
Z958;;;pvd
Z9580;;;pvd
Z9588;;;pvd
Z959;;;pvd
Z992;;;rd
P290;;;
R568;;;
